Overall	Text
0	time warner cable pulls the plug on the girlfriend experience www tinyurl com m595fk
0	time warner cable slogan where calling it a day at 2pm happens
0	rocawear heads to china building 300 stores
0	climate focus turns to beijing the united nations the us and european governments have called on china to co o
0	myfoxdc barrie students back from trip to china a silver spring high school s class trip to china has en
0	three china aerospace giants develop tianjin binhai new area 22 9 be  yuan invested
0	gm ceo china will continue to be key partner
0	rt is now the time to buy a gm car
1	my dentist is great but she s expensive
-1	pet dentist
-1	going to the dentist later
-1	son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell
1	just started playing major league baseball 2k9
0	sony coupon code expires soon
1	waiting in line at safeway
1	i have three words for you safeway dot com
1	safeway is very rock n roll tonight
1	bout to hit safeway i gotta eat
1	jake s going to safeway
1	found a safeway picking up a few staples
-1	the safeway bathroom still smells like ass
-1	at safeway on elkhorn they move like they re dead
0	your normal weight and how to get there normal eating blog
0	is eating and watching movies
0	eating sashimi
0	is eating home made yema
0	eating cake
0	iphone may get radio tagging and nike recently released itunes version 8 2 suggests that voiceover functional
1	is lovin his nike already and that s only from running on the spot in his bedroom
0	launched imgsearch ajax jquery webapp
-1	i finally got around to using jquery to make my bio collapse yay for slide animations
0	rt the ultimate jquery list
0	i just extracted and open sourced a jquery plugin from stormweight to highlight text with a regular expression
0	beginning javascript and css development with jquery javascript css jquery
1	right laugh out loud we ll get there i have high expectations warren buffet style
0	warren buffet on the economy
-1	time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear
1	impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon
-1	man accosts roger federer during french open
0	we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there
0	just blocked united blood services using google voice they call more than those car warranty guys
0	oh snap you work at atandt do not you
0	google wave developer sandbox account request
0	reading on my new kindle2
0	any twitter to aprs apps yet
1	barack obama shows his funny side gt gt great speech
1	i like this guy barack obama shows his funny side gt gt
-1	reading bill clinton fail obama win
1	watching lebron highlights damn that niggas good
1	kobe is the best in the world not lebron
1	world cup 2010 access damn that s a good look
-1	i have to go to booz allen hamilton for a 2hr meeting sad but then i get to go home happy
1	i have the kindle2 i ve seen pictures of the dx but have not seen it in person i love my kindle i m on it everyday
0	ok do nothing just thinking about 40d
1	sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee
-1	rt rt gm onstar now instantly sends accident location coordinates to 911 gps obsessed
0	boarding plane for san francisco in 1 hour 6 hr flight blech
0	breakers in san francisco ca
0	heading to san francisco
0	f up big or go home aig
-1	i hate comcast right now everything is down cable internet and phone ughh what am i to do
0	how do you use the twitter api
0	testing twitter api
0	testing twitter api remote update
0	off to the nike factory
1	new blog post nike zoom lebron soldier 3 iii white black teal
0	new blog post nike trainer 1
1	awesome seeing the show friday at the shoreline amphitheatre never seen nin before can not wait
0	i m moving to east palo alto
0	mba admissions tips stanford gsb deadlines and essay topics 2009 2010
0	ethics and nonprofits stanford socialentrepreneurship
0	lakers tonight let s go
-1	will the lakers kick the nuggets ass tonight
-1	oooooooh north korea is in troubleeeee
0	wat the heck is north korea doing they just conducted powerful nuclear tests follow the link
0	i just realized we three monkeys in the white obama biden pelosi sarah palin 2012
0	pelosi should stay in china and never come back
1	prettiest insects ever pink katydids
1	ahh yes laugh out loud ima tell my hubby to go get me sum mcdonalds happy
1	stopped to have lunch at mcdonalds chicken nuggetssss happy yummmmmy
0	could go for a lot of mcdonalds i mean a lot
0	learning jquery 1 3 book review
0	adobe cs4 commercial by goodby silverstein
1	awesome viral marketing for funny people
1	watching night at the museum giggling
0	jenna i went to see night at the museum 2 today and i was so surprised to see three cast members from the office
0	about to watch night at the museum with ryan and stacy
0	up was sold out so i m seeing night at the museum 2 i m years old
1	as you   may have noticed not too happy about the gm situation nor aig lehman et al
0	obama nationalization of gm to be short term ap
-1	gm good riddance sad though
0	i will never buy a government motors vehicle until just recently i drove gm cars since 1988 when i bought a
0	time warner ceo hints at online fees for magazines ap read from mountain view united states views 16209
-1	cox or time warner cox is cheaper and gets a be  on dslreports tw is more expensive and gets a c
0	rt new time warner slogan time warner where we make you long for the days before cable
0	lawson to head newedge hong kong business china
0	send us your gm chevy photos
-1	i had a dentist appt this morning and had the same conversation
-1	i hate the dentist who invented them anyways
-1	check this video out david after dentist
-1	first dentist appointment in years on wednesday possibly
0	tom shanahan s latest column on sdsu and its ncaa baseball regional appearance
0	baseballamerica com blog baseball america prospects blog blog
0	portland city politics may undo baseball park
1	rt ca merced s water bottled by safeway resold at a profit wells are drying up across the county
1	just applied at safeway yeeeee
-1	safeway place is a nightmare right now bumming
1	at safeway with dad
1	safeway with marvin janelle and auntie lhu
1	safeway offering mobile coupons
1	saved money by opting for grocery store trip and stocking food in hotel room fridge vs eating out every night while out of town
0	eating breakfast and then school
-1	still hungry after eating
0	with the boyfriend eating a quesadilla
0	eating dinner meat chips and risotto
0	got a new pair of nike shoes pics up later
0	nike sb blazer high acg custom brad douglas
0	nike air yeezy khaki pink colorway release
-1	have you tried nike very  addictive
-1	that looks an awful lot like one of nike s private jets i m just sayin
0	devsnippets jquery tools javascript ui components for the web
0	all about ajax jquery css javascript and more many examples
0	jquery selectors
0	how to implement a news ticker with jquery and ten lines of code
-1	what s buffet doing warren buffett kicks butt in battle of the boots posted by alex crippe
-1	i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis
-1	although today s keynote rocked for every great announcement atandt shit on us just a little bit more
-1	its not so much my obsession with cell phones but the iphone i m a slave to atandt forever because of it happy
0	oh i see i thought atandt were 900mhz wcdma
-1	today is a good day to dislike atandt vote out of office indeed
-1	man i kinda dislike apple right now case in point the iphone 3gs wish there was a video recorder app please
0	my primary debit card is visa electron
0	off to the bank to get my new visa platinum card
0	has a date with bobby flay and gut fieri from food network
1	my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today
-1	fighting with latex again
0	how to track iran with social media
0	twitter stock buzz aapl es f spy spx palm updated 12 00 pm
0	is bobby flay joining you
0	ask programming latex or indesign submitted by calcio1 link 1 comment
1	ahhh back in a real text editing environment i lt 3 latex
-1	reading the tweets coming out of iran the whole thing is terrifying and incredibly sad
